_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,"Otros_Continentes,,,"
678edda0365f4e814ef6545d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,CEBCI,01B00010,Ordinario,Particular,Urbana,Sierra,Intercultural Bilingüe,19,6,25,148,179,327,311,3,0,0,9,"4,,,"
678edda0365f4e814ef6545e,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BAÑOS,10151,CENTRO EDUCATIVO ROUSSEAU,01B00019,Ordinario,Particular,Rural,Sierra,Intercultural Bilingüe,9,1,10,17,23,40,39,0,0,0,1,"0,,,"
678edda0365f4e814ef6545f,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BAÑOS,10151,COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY,01B00020,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,10,7,17,132,132,264,264,0,0,0,0,"0,,,"
678edda0365f4e814ef65461,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,GIL RAMIREZ DAVALOS,10106,LA PAZ INTERCULTURAL BILINGUE AZUAY,01B00022,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,2,3,5,141,131,272,272,0,0,0,0,"0,,,"
678edda0365f4e814ef65462,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MOLLETURO,10157,LA PAZ,01B00023,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,21,21,42,42,0,0,0,0,"0,,,"
678edda0365f4e814ef65463,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ESCUELA MONSEÑOR LEONIDAS PROAÑO II,01B00027,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,69,58,127,127,0,0,0,0,"0,,,"
678edda0365f4e814ef65464,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ESTRELLA DE SAN JOSE,01B00028,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,0,1,12,5,17,17,0,0,0,0,"0,,,"
678edda0365f4e814ef65465,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,SIN NOMBRE,01B00029,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,0,2,30,25,55,55,0,0,0,0,"0,,,"
678edda0365f4e814ef65467,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SANTA ANA,10164,MONTE SINAI,01B00031,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,3,1,4,37,42,79,79,0,0,0,0,"0,,,"
678edda0365f4e814ef65468,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,TARQUI,10168,XAVIER MUÑOZ CHAVEZ,01B00032,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,0,4,4,25,32,57,57,0,0,0,0,"0,,,"
678edda0365f4e814ef65469,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,TARQUI,10168,TUTUPALI CHICO NARANCAY ALTO,01B00033,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,0,0,0,9,17,26,26,0,0,0,0,"0,,,"
678edda0365f4e814ef6546a,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,TURI,10169,CESAR VICTORIANO MARTINEZ VERDUGO,01B00034,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,29,39,68,68,0,0,0,0,"0,,,"
678edda0365f4e814ef6546b,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,TURI,10169,MARCO MARTINEZ,01B00035,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,1,2,14,18,32,32,0,0,0,0,"0,,,"
678edda0365f4e814ef6546c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,VALLE,10170,JUAN PEÑAFIEL,01B00036,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,26,26,52,52,0,0,0,0,"0,,,"
678edda0365f4e814ef6546d,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,GUALACEO,10350,MIGUEL IGNACIO CORDERO MONCAYO,01B00037,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,4,3,7,49,69,118,118,0,0,0,0,"0,,,"
678edda0365f4e814ef6546e,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,SAN MARTIN,01B00038,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,1,2,22,35,57,57,0,0,0,0,"0,,,"
678edda0365f4e814ef6546f,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,VICENTE ZARUMA,01B00039,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,30,24,54,54,0,0,0,0,"0,,,"
678edda0365f4e814ef65470,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,19 DE MAYO,01B00040,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,23,10,33,33,0,0,0,0,"0,,,"
678edda0365f4e814ef65471,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,LA DOLOROSA,01B00041,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,3,4,40,34,74,74,0,0,0,0,"0,,,"
678edda0365f4e814ef65472,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,19 DE MARZO,01B00042,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,4,2,6,33,48,81,81,0,0,0,0,"0,,,"
678edda0365f4e814ef65473,2009-2010 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,RUMIÑAHUI,01B00043,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,0,3,3,22,19,41,41,0,0,0,0,"0,,,"
678edda0365f4e814ef65474,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,LA PAZ,01B00044,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,0,0,0,32,28,60,60,0,0,0,0,"0,,,"
678edda0365f4e814ef65475,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,EFRAIN NAULA,01B00045,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,1,2,3,51,40,91,91,0,0,0,0,"0,,,"
678edda0365f4e814ef65476,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,ARTURO QUESADA MENDIETA,01B00046,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,3,6,73,85,158,158,0,0,0,0,"0,,,"
678edda0365f4e814ef65477,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,MONSEÑOR LEONIDAS PROAÑO    1,01B00047,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,2,7,69,76,145,145,0,0,0,0,"0,,,"
678edda0365f4e814ef65478,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,SAN JOSE,01B00048,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,4,7,65,52,117,117,0,0,0,0,"0,,,"
678edda0365f4e814ef65479,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,CECIB CESAR A MOROCHO,01B00049,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,5,10,76,82,158,158,0,0,0,0,"0,,,"
678edda0365f4e814ef6547a,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,JOSE ALBERTO MOROCHO,01B00050,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,2,1,3,26,22,48,48,0,0,0,0,"0,,,"
678edda0365f4e814ef6547b,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,SAN JOSE,01B00051,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,5,8,52,75,127,127,0,0,0,0,"0,,,"
678edda0365f4e814ef6547d,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,FERNANDO DAQUILEMA,01B00053,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,0,3,16,25,41,41,0,0,0,0,"0,,,"
678edda0365f4e814ef6547e,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,COLEGIO TECNICO HUMANISTICO INTERCULTURAL BILINGUE SHIÑA,01B00054,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,8,13,53,53,106,106,0,0,0,0,"0,,,"
678edda0365f4e814ef65480,2009-2010 Inicio,Zona 6,AZUAY,1,SIGSIG,109,LUDO,10954,JAIME ROLDOS AGUILERA,01B00056,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,2,1,3,32,28,60,60,0,0,0,0,"0,,,"
678edda0365f4e814ef65481,2009-2010 Inicio,Zona 6,AZUAY,1,OÑA,110,SUSUDEL,11051,NUEVO SUSUDEL,01B00057,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,5,4,9,64,50,114,114,0,0,0,0,"0,,,"
678edda0365f4e814ef65482,2009-2010 Inicio,Zona 6,AZUAY,1,OÑA,110,SUSUDEL,11051,SIN NOMBRE,01B00058,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,0,1,4,4,8,8,0,0,0,0,"0,,,"
678edda0365f4e814ef65484,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,SIN NOMRE PILLACHIQUIR,01B00060,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,0,1,11,15,26,26,0,0,0,0,"0,,,"
