_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,"Otros_Continentes,,,"
678edda0365f4e814ef6545c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,UNIDAD EDUCATIVA PARTICULAR ROSA DE JESUS CORDERO,01B00002,Ordinario,Particular,Urbana,Sierra,Intercultural,86,10,96,1473,0,1473,1455,0,0,0,18,"0,,,"
678edda0365f4e814ef6545d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MONAY,10109,CEBCI,01B00010,Ordinario,Particular,Urbana,Sierra,Intercultural Bilingüe,19,6,25,148,179,327,311,3,0,0,9,"4,,,"
678edda0365f4e814ef6545f,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BAÑOS,10151,COLEGIO INTERCULTURAL BILINGUE DE  NARANCAY,01B00020,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,10,7,17,132,132,264,264,0,0,0,0,"0,,,"
678edda0365f4e814ef65461,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,GIL RAMIREZ DAVALOS,10106,LA PAZ INTERCULTURAL BILINGUE AZUAY,01B00022,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,2,3,5,141,131,272,272,0,0,0,0,"0,,,"
678edda0365f4e814ef65463,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,QUINGEO,10161,ESCUELA MONSEÑOR LEONIDAS PROAÑO II,01B00027,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,1,4,5,69,58,127,127,0,0,0,0,"0,,,"
678edda0365f4e814ef65475,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,EFRAIN NAULA,01B00045,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,1,2,3,51,40,91,91,0,0,0,0,"0,,,"
678edda0365f4e814ef65476,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,ARTURO QUESADA MENDIETA,01B00046,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,3,6,73,85,158,158,0,0,0,0,"0,,,"
678edda0365f4e814ef65477,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,MONSEÑOR LEONIDAS PROAÑO    1,01B00047,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,2,7,69,76,145,145,0,0,0,0,"0,,,"
678edda0365f4e814ef65478,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,SAN JOSE,01B00048,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,4,7,65,52,117,117,0,0,0,0,"0,,,"
678edda0365f4e814ef65479,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,CECIB CESAR A MOROCHO,01B00049,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,5,10,76,82,158,158,0,0,0,0,"0,,,"
678edda0365f4e814ef6547b,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,SAN JOSE,01B00051,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,3,5,8,52,75,127,127,0,0,0,0,"0,,,"
678edda0365f4e814ef6547c,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,ESCUELA FISCAL MIXTA BALTAZAR AGUIRRE,01B00052,Ordinario,Fiscal,Urbana,Sierra,Intercultural,6,2,8,98,75,173,173,0,0,0,0,"0,,,"
678edda0365f4e814ef6547e,2009-2010 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,COLEGIO TECNICO HUMANISTICO INTERCULTURAL BILINGUE SHIÑA,01B00054,Ordinario,Fiscal,Urbana,Sierra,Intercultural Bilingüe,5,8,13,53,53,106,106,0,0,0,0,"0,,,"
678edda0365f4e814ef65481,2009-2010 Inicio,Zona 6,AZUAY,1,OÑA,110,SUSUDEL,11051,NUEVO SUSUDEL,01B00057,Ordinario,Fiscal,Rural,Sierra,Intercultural Bilingüe,5,4,9,64,50,114,114,0,0,0,0,"0,,,"
678edda0365f4e814ef65487,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,CRISTO REY,01H00001,Ordinario,Particular,Urbana,Sierra,Intercultural,9,3,12,65,110,175,171,0,0,0,4,"0,,,"
678edda0365f4e814ef65488,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,HOME SCHOOL,01H00002,Ordinario,Particular,Urbana,Sierra,Intercultural,9,10,19,134,90,224,224,0,0,0,0,"0,,,"
678edda0365f4e814ef65489,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,RAFAEL AGUILAR PESANTEZ,01H00003,Ordinario,Fiscal,Urbana,Sierra,Intercultural,11,1,12,124,121,245,242,0,0,0,2,"1,,,"
678edda0365f4e814ef6548a,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,ELENA MOSCOSO TAMARIZ,01H00004,Ordinario,Particular,Urbana,Sierra,Intercultural,31,13,44,384,0,384,382,1,0,0,0,"1,,,"
678edda0365f4e814ef6548b,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,FRANCISCA DAVILA,01H00006,Ordinario,Fiscal,Urbana,Sierra,Intercultural,4,2,6,68,0,68,68,0,0,0,0,"0,,,"
678edda0365f4e814ef6548d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,BENJAMIN RAMIREZ ARTEAGA,01H00010,Ordinario,Fiscal,Urbana,Sierra,Intercultural,9,6,15,137,160,297,293,2,0,1,1,"0,,,"
678edda0365f4e814ef65491,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,5 DE NOVIEMBRE,01H00025,Popular Permanente,Particular,Urbana,Sierra,Intercultural,7,3,10,283,0,283,283,0,0,0,0,"0,,,"
